College,City,Role,Previous CTC,Previous job change,Graduation Marks,EXP (Month),CTC
IIIT Hyderabad,Rajpur Sonarpur,Executive,60466.00,2,84,30,64052.01
IIT Kanpur,Rajpur Sonarpur,Manager,68023.00,3,54,18,92851.94
MNIT Jaipur,Pune,Executive,56831.00,2,47,22,59150.62
IIT Kanpur,Durgapur,Executive,60909.00,3,67,23,68466.49
IIT Indore,Ahmedabad,Manager,54744.00,4,62,33,85461.75
LNMIIT,Rajpur Sonarpur,Executive,54660.00,3,43,27,75374.60
"BMS College, Bangalore",Bangalore,Executive,55085.00,1,59,45,69720.35
NIT Kurukshetra,Durgapur,Executive,54021.00,3,60,57,74557.88
"Heritage Institute of Technology, Kolkata",Chennai,Executive,57988.00,3,67,47,80463.20
NIT Raipur,Surat,Executive,53563.00,2,82,42,71950.15
IIT ISM Dhanbad,Hyderabad,Executive,65041.00,3,35,64,79054.09
NIT Silchar,Chennai,Executive,49106.00,4,64,38,63268.59
IIT BHU (Varanasi),Bangalore,Executive,60296.00,2,56,61,96256.60
R.V. College of Engineering,Durgapur,Executive,52516.00,2,55,53,68076.23
SRM Main Campus,Delhi,Executive,62913.00,4,55,44,81307.63
SRM Main Campus,Kolhapur,Manager,56259.00,2,37,19,76235.42
"IEM, Kolkata",Asansol,Executive,58635.00,2,76,41,64401.61
NIT Durgapur,Rajpur Sonarpur,Executive,58393.00,2,54,51,81726.80
"PES University, Bangalore",Rourkela,Executive,56343.00,3,58,40,75930.73
"KIIT, Bhubaneswar",Hyderabad,Executive,69103.00,3,61,45,81819.78
"Jaypee, Noida",Rourkela,Executive,56302.00,2,78,35,62792.65
"Techno India, Kolkata",Bangalore,Executive,58682.00,4,56,53,73479.74
LNMIIT,Kolhapur,Manager,44755.00,4,79,30,73291.90
IIT Ropar,Asansol,Executive,68087.00,2,48,18,66140.38
"USIT, Delhi",Kolhapur,Executive,61111.00,3,67,51,71038.65
NIT Silchar,Kolhapur,Manager,53210.00,1,40,50,92436.86
"MAIT, Delhi",Ahmedabad,Executive,56411.00,2,56,31,62441.06
IIIT Hyderabad,Pune,Executive,49618.00,3,79,35,73044.66
IIT Delhi,Asansol,Executive,59442.00,2,72,60,74787.18
NIT Jamshedpur,Kolkata,Executive,61362.00,2,51,21,62090.11
Jalpaiguri Government Engineering College,Surat,Executive,42655.00,2,70,29,71426.63
"IEM, Kolkata",Bangalore,Executive,51003.00,4,74,62,76961.06
"PES University, Bangalore",Asansol,Executive,62984.00,1,38,39,72415.05
LNMIIT,Kolkata,Executive,55600.00,4,58,19,73330.78
"Dayanand College of Engineering, Bangalore",Chennai,Executive,52226.00,2,61,22,64833.39
IIT Ropar,Pune,Manager,46979.00,1,66,53,75738.72
NIT Bhopal,Rajpur Sonarpur,Executive,59752.00,3,46,39,71427.16
IIT Kharagpur,Bangalore,Manager,49839.00,1,81,27,78089.72
BITS Pilani (Hyderabad Campus),Pune,Executive,68797.00,2,79,30,71340.34
NIT Kurukshetra,Kolhapur,Executive,50705.00,3,52,30,62955.46
"PES University, Bangalore",Durgapur,Executive,55987.00,4,50,58,69343.89
R.V. College of Engineering,Pune,Manager,51256.00,4,75,33,73503.98
NIT Silchar,Hyderabad,Executive,51639.00,1,69,42,60460.07
NIT Raipur,Delhi,Executive,59523.00,2,55,64,73467.46
NIT Kurukshetra,Delhi,Executive,46380.00,1,62,21,70752.08
IIT ISM Dhanbad,Asansol,Manager,71123.00,4,57,18,100497.31
SVNIT Surat,Rajpur Sonarpur,Executive,48611.00,4,61,23,70232.90
IIIT Hyderabad,Ajmer,Executive,57328.00,4,65,45,60284.58
"MSIT, Delhi",Kolhapur,Executive,63521.00,4,82,40,82780.39
VIT Vellore,Kolhapur,Executive,57604.00,3,82,19,65275.62
SRM Main Campus,Bangalore,Executive,59305.00,4,78,18,74275.10
BITS Pilani (Pilani Campus),Ajmer,Executive,47312.00,4,75,25,71026.40
IIIT Jabalpur,Kolkata,Executive,54513.00,3,82,46,80991.21
"MSIT, Delhi",Surat,Executive,63523.00,3,45,33,58048.12
SVNIT Surat,Ajmer,Executive,48852.00,1,76,54,68903.48
"Jaypee, Noida",Ahmedabad,Executive,44096.00,3,60,28,79412.82
"Cummins College of Engineering for Women, Pune",Pune,Executive,58892.00,2,79,36,65165.86
TIET/Thapar University,Durgapur,Executive,54118.00,2,50,20,56178.11
BITS Pilani (Goa Campus),Kolhapur,Executive,44960.00,4,42,24,61624.90
TIET/Thapar University,Durgapur,Executive,58422.00,2,54,23,75585.98
NIT Surathkal (Karnataka),Rajpur Sonarpur,Manager,49329.00,4,46,47,85420.69
Punjab Engineering College,Rajpur Sonarpur,Manager,59455.00,4,43,33,112797.03
IIT Guwahati,Pune,Executive,62637.00,2,65,45,69816.63
"Dayanand College of Engineering, Bangalore",Kolhapur,Executive,45637.00,4,37,26,70626.09
BITS Pilani (Goa Campus),Kolhapur,Executive,59481.00,4,77,18,64189.89
VIT Vellore,Rourkela,Executive,57100.00,2,54,44,65875.31
NIT Raipur,Kolkata,Executive,49702.00,2,85,60,76284.19
"Dayanand College of Engineering, Bangalore",Hyderabad,Executive,54415.00,3,75,64,73791.08
NIT Surathkal (Karnataka),Kolhapur,Manager,52110.00,1,67,56,98530.39
IIT Delhi,Kolhapur,Manager,49570.00,4,72,36,83977.24
NIT Kurukshetra,Hyderabad,Manager,60301.00,3,66,41,100861.51
"BMS College, Bangalore",Surat,Executive,43612.00,3,48,39,71010.86
DTU,Surat,Executive,59933.00,3,77,63,80641.20
BITS Pilani (Pilani Campus),Bangalore,Executive,53563.00,3,69,36,55882.26
Manipal Main Campus,Chennai,Executive,50705.00,3,74,28,55436.85
IIT Guwahati,Ajmer,Executive,56493.00,1,73,58,74613.30
IIT Roorkee,Ajmer,Executive,61040.00,3,54,36,78423.94
BITS Pilani (Goa Campus),Bangalore,Executive,58049.00,2,51,42,65084.43
IIT Delhi,Ahmedabad,Executive,54506.00,2,65,36,68699.58
IIIT Delhi,Chennai,Executive,55502.00,1,47,56,81558.03
"BMS College, Bangalore",Kolhapur,Executive,43496.00,1,57,35,59786.34
"Heritage Institute of Technology, Kolkata",Durgapur,Executive,55109.00,2,68,59,62624.16
IIT ISM Dhanbad,Kolhapur,Executive,52417.00,3,73,21,72336.45
"Amrita University, Coimbatore",Rajpur Sonarpur,Executive,48990.00,4,83,59,79310.37
IIT ISM Dhanbad,Ahmedabad,Manager,62458.00,2,66,23,84342.95
"MAIT, Delhi",Kozhikode,Manager,50520.00,1,80,57,77117.50
NIT Bhopal,Surat,Executive,59420.00,2,46,53,76789.76
TIET/Thapar University,Durgapur,Manager,62279.00,1,84,60,105013.72
NIT Silchar,Durgapur,Executive,63285.00,2,62,51,86109.93
NIT Warangal,Kolkata,Executive,71756.00,4,67,23,72141.43
"IEM, Kolkata",Ajmer,Executive,44682.00,4,44,27,62625.75
"Cummins College of Engineering for Women, Pune",Surat,Executive,57576.00,2,43,55,79029.75
VIT Vellore,Rourkela,Manager,58364.00,2,74,37,94112.48
"PES University, Bangalore",Kolkata,Executive,58625.00,1,63,61,85704.69
IIT BHU (Varanasi),Durgapur,Manager,60754.00,2,65,46,110450.43
IIT BHU (Varanasi),Durgapur,Executive,52462.00,3,57,53,74631.46
"Jaypee, Noida",Ahmedabad,Manager,52402.00,3,65,49,74672.78
NIT Warangal,Ajmer,Executive,53334.00,1,77,20,72656.08
Manipal Main Campus,Kolkata,Manager,62455.00,4,60,48,102188.48
"USIT, Delhi",Rourkela,Manager,52388.00,2,40,25,81777.60
"MAIT, Delhi",Durgapur,Executive,52322.00,1,49,25,76563.41
"Jaypee, Noida",Pune,Executive,52235.00,3,36,57,87812.20
BITS Pilani (Goa Campus),Delhi,Manager,75785.00,4,63,37,110338.25
"Jaypee, Noida",Delhi,Executive,49974.00,2,77,38,60572.12
"Techno India, Kolkata",Ahmedabad,Executive,56950.00,4,44,55,64365.88
IIT Guwahati,Bangalore,Executive,45321.00,1,65,36,64269.18
IIIT Lucknow,Surat,Executive,47794.00,2,50,51,70541.87
NIT Silchar,Rourkela,Executive,53920.00,2,60,40,73208.38
NIT Jamshedpur,Bangalore,Executive,62728.00,4,71,18,65436.75
NIT Sikkim,Kozhikode,Executive,65633.00,3,56,57,73353.22
NIT Surathkal (Karnataka),Ahmedabad,Executive,47254.00,4,83,61,83867.16
"MAIT, Delhi",Chennai,Executive,44699.00,3,75,25,57799.66
Amity University,Durgapur,Executive,59813.00,1,79,50,82305.51
IIT Guwahati,Surat,Executive,54051.00,2,40,26,65478.95
Jadavpur University,Surat,Executive,47027.00,3,71,42,74077.19
"MSIT, Delhi",Delhi,Executive,50329.00,4,64,43,70299.70
"IEM, Kolkata",Hyderabad,Executive,42581.00,4,62,44,75358.79
NIT Tiruchipally (Trichy),Rourkela,Executive,55895.00,4,40,23,61970.76
Jalpaiguri Government Engineering College,Hyderabad,Executive,49123.00,4,53,49,93648.47
NIT Warangal,Rourkela,Executive,62570.00,3,61,33,76271.87
NIT Surathkal (Karnataka),Asansol,Executive,58546.00,4,56,41,79412.09
IIT Roorkee,Chennai,Executive,56740.00,1,49,37,76894.94
R.V. College of Engineering,Bangalore,Executive,54979.00,4,72,22,65489.23
BITS Pilani (Hyderabad Campus),Chennai,Executive,47472.00,2,77,23,60817.97
IIT Kanpur,Ajmer,Executive,44468.00,2,85,21,69857.81
Amity University,Chennai,Manager,64930.00,1,66,51,114939.65
DAIICT,Kolhapur,Executive,54374.00,3,46,25,70244.25
IIT Ropar,Pune,Manager,56541.00,2,55,32,83707.39
"BMS College, Bangalore",Surat,Manager,57679.00,4,70,57,87477.23
IIT Roorkee,Delhi,Executive,54712.00,1,49,36,64010.16
R.V. College of Engineering,Chennai,Executive,63180.00,2,63,22,82469.16
Jalpaiguri Government Engineering College,Rourkela,Executive,60270.00,4,69,57,70126.63
IIT BHU (Varanasi),Kozhikode,Manager,47495.00,4,38,64,80020.81
Manipal Main Campus,Delhi,Executive,55139.00,3,45,36,72854.07
"MAIT, Delhi",Kozhikode,Executive,51735.00,3,61,54,66678.16
NIT Tiruchipally (Trichy),Kozhikode,Manager,61650.00,3,51,47,106083.08
IIIT Delhi,Kolhapur,Executive,58586.00,3,39,62,75871.39
IIT Madras,Kolhapur,Executive,66002.00,1,83,61,74820.02
BITS Pilani (Hyderabad Campus),Asansol,Manager,47266.00,1,61,43,84114.74
NIT Jamshedpur,Bangalore,Executive,47405.00,2,55,19,68346.92
"MAIT, Delhi",Kozhikode,Executive,64420.00,3,65,18,58213.89
Jadavpur University,Kozhikode,Executive,43863.00,2,72,19,61926.91
IIT Indore,Rourkela,Executive,43788.00,4,85,49,67487.61
NIT Warangal,Rourkela,Manager,63425.00,4,38,60,101535.38
"Techno India, Kolkata",Kolhapur,Executive,54728.00,3,37,26,63450.60
IIIT Allahabad,Ahmedabad,Executive,57972.00,3,41,49,72940.89
"Techno India, Kolkata",Durgapur,Executive,63978.00,3,46,60,82356.56
"Jaypee, Noida",Ahmedabad,Executive,57607.00,4,65,26,67500.35
Manipal Main Campus,Rourkela,Executive,60357.00,3,36,27,72642.89
IIT Ropar,Rajpur Sonarpur,Executive,57009.00,3,51,44,70973.39
"Dayanand College of Engineering, Bangalore",Kolkata,Executive,65649.00,3,42,63,84786.24
NIT Jalandhar,Rajpur Sonarpur,Manager,47419.00,2,50,32,77614.88
"USIT, Delhi",Kolkata,Executive,55922.00,2,77,22,71337.37
MNIT Jaipur,Hyderabad,Manager,61427.00,2,41,18,87870.75
NIT Warangal,Kozhikode,Executive,55640.00,3,42,59,70233.93
BITS Pilani (Pilani Campus),Ajmer,Executive,55241.00,4,79,44,76125.83
IIT Ropar,Ajmer,Executive,48676.00,1,58,33,61726.27
NIT Tiruchipally (Trichy),Kozhikode,Executive,58164.00,4,53,24,64801.96
IIIT Allahabad,Delhi,Manager,56740.00,4,77,43,78680.21
DTU,Kozhikode,Manager,45505.00,3,57,45,99918.30
IIT Delhi,Rajpur Sonarpur,Executive,48360.00,3,41,61,74265.40
NIT Raipur,Durgapur,Executive,55929.00,1,80,35,59047.34
"MAIT, Delhi",Delhi,Executive,53493.00,4,53,62,80458.58
"Jaypee, Noida",Delhi,Executive,61004.00,1,35,62,80531.42
IIIT Hyderabad,Bangalore,Executive,56939.00,3,75,38,75515.74
VIT Vellore,Rourkela,Executive,57954.00,1,71,34,68438.25
NIT Kurukshetra,Surat,Executive,49897.00,4,51,43,70647.33
IIIT Allahabad,Durgapur,Executive,58645.00,3,41,50,98335.39
NSUT Delhi (NSIT),Delhi,Executive,50229.00,2,41,19,67718.50
IIT Madras,Ahmedabad,Executive,45588.00,2,81,57,66422.09
"USIT, Delhi",Kolhapur,Executive,66693.00,1,76,62,66501.14
Manipal Main Campus,Durgapur,Executive,62665.00,4,37,41,78535.73
IIT ISM Dhanbad,Ajmer,Executive,69083.00,2,83,26,76813.50
TIET/Thapar University,Kolkata,Executive,54377.00,3,62,39,68986.80
IIIT Hyderabad,Kolkata,Executive,55776.00,3,82,46,81036.78
NIT Calicut,Rourkela,Executive,64803.00,4,41,45,77615.87
"IEM, Kolkata",Surat,Executive,63553.00,2,44,32,74583.85
NSUT Delhi (NSIT),Kozhikode,Executive,50259.00,3,51,59,64959.88
IIT Madras,Kozhikode,Executive,54908.00,4,73,44,94707.74
MNNIT Allahabad,Delhi,Executive,45698.00,1,78,39,67433.00
NIT Sikkim,Delhi,Executive,49782.00,4,52,18,68119.11
VIT Vellore,Kolkata,Executive,57965.00,2,55,53,63691.22
IIIT Jabalpur,Rourkela,Executive,47177.00,4,82,18,59812.41
Manipal Main Campus,Chennai,Executive,72319.00,1,51,50,63538.43
"MSIT, Delhi",Chennai,Executive,67969.00,2,40,18,77435.20
NIT Surathkal (Karnataka),Hyderabad,Executive,45487.00,3,37,19,68015.59
NIT Kurukshetra,Durgapur,Executive,64010.00,1,46,62,78249.35
IIT Delhi,Ahmedabad,Executive,59227.00,2,47,56,76488.51
BITS Pilani (Pilani Campus),Ajmer,Executive,56738.00,3,49,42,68689.90
"Cummins College of Engineering for Women, Pune",Bangalore,Manager,62898.00,3,60,37,112310.50
IIT Madras,Kolkata,Executive,59175.00,2,82,42,71663.53
IIT Ropar,Hyderabad,Manager,57608.00,2,49,25,78713.91
IIT Delhi,Rourkela,Executive,42804.00,2,37,57,74893.91
"Amrita University, Coimbatore",Rourkela,Manager,65482.00,3,39,51,106633.64
VIT Vellore,Chennai,Executive,57042.00,4,42,30,60644.12
IIIT Allahabad,Kolkata,Manager,56350.00,2,74,44,104154.81
NIT Jamshedpur,Durgapur,Manager,50451.00,1,56,34,74128.76
NIT Calicut,Chennai,Executive,62759.00,3,37,31,69951.41
BITS Pilani (Hyderabad Campus),Kolhapur,Manager,59683.00,1,81,54,97523.10
"MSIT, Delhi",Rourkela,Executive,47381.00,1,48,24,73987.04
IIT Delhi,Kozhikode,Manager,63504.00,4,84,43,105528.87
NIT Kurukshetra,Bangalore,Executive,57127.00,4,61,48,99276.61
"KIIT, Bhubaneswar",Pune,Executive,64290.00,1,66,19,60547.58
IIIT Hyderabad,Delhi,Executive,54212.00,4,38,29,68571.40
MNIT Jaipur,Ajmer,Executive,59576.00,1,62,63,69043.09
"BMS College, Bangalore",Hyderabad,Executive,48175.00,3,49,46,77795.84
Jadavpur University,Kozhikode,Executive,63797.00,2,37,52,86647.26
Manipal Main Campus,Delhi,Executive,48682.00,1,85,35,63554.03
NIT Jalandhar,Durgapur,Manager,46558.00,3,80,51,80430.97
"KIIT, Bhubaneswar",Rourkela,Executive,48690.00,2,72,44,72842.01
IIT Kharagpur,Kolhapur,Executive,54340.00,2,53,21,65228.80
Amity University,Rourkela,Executive,63711.00,1,73,39,65032.62
NIT Durgapur,Bangalore,Executive,49427.00,3,40,50,67402.38
SVNIT Surat,Kolhapur,Executive,44122.00,4,85,34,69206.59
"Amrita University, Coimbatore",Ahmedabad,Executive,45932.00,1,84,22,55399.38
"Dayanand College of Engineering, Bangalore",Ahmedabad,Executive,69670.00,2,62,19,64748.93
IIT ISM Dhanbad,Bangalore,Executive,65207.00,4,61,26,67929.18
"IEM, Kolkata",Chennai,Manager,45354.00,3,72,29,74793.11
IIT Madras,Pune,Executive,67339.00,1,37,48,69262.14
IIT Madras,Kozhikode,Executive,54440.00,1,53,26,61913.04
Jadavpur University,Rajpur Sonarpur,Executive,63423.00,2,54,45,70907.55
IIIT Lucknow,Bangalore,Executive,55621.00,1,57,36,63331.00
IIIT Lucknow,Rourkela,Executive,46432.00,3,61,54,102860.45
NIT Sikkim,Durgapur,Executive,49513.00,1,84,34,69525.33
"PES University, Bangalore",Rourkela,Manager,52918.00,4,61,31,82323.34
IIIT Hyderabad,Rajpur Sonarpur,Executive,51609.00,4,72,27,69498.18
NIT Jamshedpur,Kozhikode,Executive,58698.00,1,42,20,75139.44
VIT Vellore,Rajpur Sonarpur,Executive,49215.00,1,35,44,66596.56
Jalpaiguri Government Engineering College,Rajpur Sonarpur,Executive,50665.00,3,42,43,66304.02
VIT Vellore,Surat,Executive,49942.00,2,57,45,92925.38
"Amrita University, Coimbatore",Rourkela,Executive,59353.00,1,75,34,69939.63
"PES University, Bangalore",Chennai,Manager,42342.00,2,37,24,70469.63
NIT Tiruchipally (Trichy),Rajpur Sonarpur,Executive,43714.00,4,79,26,59175.73
"Techno India, Kolkata",Rourkela,Executive,55163.00,4,67,38,79945.54
"Jaypee, Noida",Durgapur,Executive,52938.00,2,55,50,76461.93
"Dayanand College of Engineering, Bangalore",Kolkata,Executive,55938.00,3,63,38,74774.90
NIT Surathkal (Karnataka),Kozhikode,Manager,40365.00,3,54,27,68402.56
BITS Pilani (Hyderabad Campus),Pune,Executive,51564.00,4,37,39,68158.59
"MAIT, Delhi",Bangalore,Executive,58789.00,3,73,39,78067.29
IIT Kanpur,Asansol,Executive,58063.00,2,63,63,77986.30
SRM Main Campus,Rourkela,Executive,56799.00,2,56,33,62165.11
IIT Madras,Surat,Executive,53629.00,4,68,36,69648.90
NIT Tiruchipally (Trichy),Rajpur Sonarpur,Manager,45294.00,4,45,30,70944.17
"Amrita University, Coimbatore",Chennai,Manager,58036.00,2,83,24,92011.57
LNMIIT,Hyderabad,Executive,54669.00,2,39,24,66673.19
NIT Silchar,Chennai,Executive,50452.00,3,42,48,91483.53
SRM Main Campus,Surat,Executive,45684.00,3,46,47,78841.27
MNNIT Allahabad,Ahmedabad,Executive,53872.00,4,56,29,70996.88
BITS Pilani (Hyderabad Campus),Durgapur,Executive,53529.00,1,79,28,77430.40
IIT BHU (Varanasi),Chennai,Manager,57125.00,2,81,47,89234.87
IIT Ropar,Kozhikode,Executive,45486.00,1,48,25,81681.11
NIT Bhopal,Kolhapur,Executive,53134.00,2,68,51,80317.29
NIT Warangal,Surat,Executive,49260.00,4,78,48,76586.37
MNIT Jaipur,Surat,Manager,49044.00,2,61,43,80955.45
VNIT Nagpur,Delhi,Executive,60235.00,4,46,61,91425.96
IIT Kanpur,Chennai,Executive,60813.00,3,65,48,67755.37
BITS Pilani (Pilani Campus),Ajmer,Executive,54218.00,4,42,38,74513.30
"Techno India, Kolkata",Ahmedabad,Executive,50083.00,4,72,59,65942.45
"BMS College, Bangalore",Surat,Executive,44912.00,2,67,19,64200.50
IIT Kanpur,Asansol,Executive,57851.00,1,83,26,60930.67
MNIT Jaipur,Ajmer,Executive,57569.00,2,42,54,68285.69
Jadavpur University,Rajpur Sonarpur,Executive,58670.00,1,43,21,76976.49
"IEM, Kolkata",Asansol,Executive,60290.00,1,53,51,81962.82
"IEM, Kolkata",Kolhapur,Manager,54753.00,1,61,22,91972.51
NIT Durgapur,Durgapur,Manager,65622.00,1,39,47,101451.11
IIIT Allahabad,Kozhikode,Executive,46183.00,2,52,18,67435.46
IIT Kharagpur,Bangalore,Executive,72661.00,3,74,47,70238.70
MNNIT Allahabad,Durgapur,Executive,58601.00,1,75,21,66538.09
Manipal Main Campus,Chennai,Manager,53160.00,1,48,19,73791.03
"Cummins College of Engineering for Women, Pune",Ahmedabad,Executive,44074.00,1,67,23,85688.22
Manipal Main Campus,Durgapur,Executive,57795.00,1,43,54,83521.22
NIT Bhopal,Rourkela,Executive,42750.00,2,76,37,71368.60
"Cummins College of Engineering for Women, Pune",Surat,Manager,52091.00,2,53,46,72988.21
NIT Durgapur,Hyderabad,Manager,56729.00,4,81,55,92360.49
NIT Patna,Asansol,Executive,49998.00,2,35,30,60154.54
NIT Surathkal (Karnataka),Delhi,Manager,45634.00,3,71,18,77400.43
NIT Silchar,Delhi,Executive,59128.00,1,56,61,85083.58
NIT Silchar,Kolhapur,Executive,47026.00,4,71,54,71084.32
Jadavpur University,Rajpur Sonarpur,Manager,60268.00,3,78,22,86904.45
NIT Raipur,Rajpur Sonarpur,Manager,57970.00,4,44,45,100715.13
IIT Roorkee,Chennai,Executive,55204.00,3,83,22,70290.10
Jalpaiguri Government Engineering College,Rajpur Sonarpur,Executive,48698.00,1,51,19,78933.47
NIT Warangal,Durgapur,Manager,48779.00,1,79,35,69632.11
IIT Indore,Surat,Executive,51224.00,2,84,18,62549.33
IIIT Jabalpur,Kozhikode,Manager,58035.00,1,64,20,86581.05
Jadavpur University,Asansol,Executive,46857.00,2,39,28,59126.22
"KIIT, Bhubaneswar",Chennai,Executive,57928.00,3,58,55,70711.33
NIT Warangal,Rajpur Sonarpur,Manager,48975.00,4,56,43,77684.11
"Cummins College of Engineering for Women, Pune",Kozhikode,Executive,46945.00,4,53,43,63095.42
IIT BHU (Varanasi),Kolhapur,Manager,73214.00,4,57,22,100119.53
IIT Kharagpur,Durgapur,Executive,48934.00,3,73,25,58063.01
DTU,Bangalore,Manager,59776.00,1,48,49,103831.72
IIT Madras,Rourkela,Executive,65198.00,4,55,44,60870.90
"IEM, Kolkata",Kozhikode,Executive,55202.00,1,56,64,74959.86
NIT Kurukshetra,Rourkela,Executive,54972.00,1,85,49,78075.42
IIIT Allahabad,Pune,Manager,56927.00,2,79,47,93102.25
MNNIT Allahabad,Ajmer,Executive,46207.00,3,71,27,60878.73
NIT Bhopal,Kolhapur,Executive,54594.00,2,50,55,72363.85
VIT Vellore,Chennai,Executive,55117.00,2,59,48,72943.17
NIT Rourkela,Chennai,Executive,53985.00,2,45,45,69523.02
NIT Rourkela,Rajpur Sonarpur,Executive,61926.00,2,46,24,63313.76
NIT Jalandhar,Delhi,Executive,56184.00,4,58,32,66697.47
"MAIT, Delhi",Kolhapur,Executive,56101.00,3,62,24,59041.08
IIT BHU (Varanasi),Ahmedabad,Executive,52401.00,3,48,57,73990.76
DTU,Asansol,Manager,61410.00,4,83,59,102928.71
IIIT Jabalpur,Asansol,Executive,48638.00,1,54,36,68374.75
NIT Durgapur,Ajmer,Executive,47527.00,2,77,29,58336.54
IIIT Jabalpur,Chennai,Executive,45405.00,1,78,42,73800.36
IIT Roorkee,Asansol,Executive,62532.00,4,70,48,65021.82
"Heritage Institute of Technology, Kolkata",Asansol,Executive,71760.00,4,40,39,71187.52
IIIT Delhi,Asansol,Executive,46342.00,3,42,63,78936.19
IIT Ropar,Rourkela,Executive,53031.00,4,68,54,64318.12
NIT Warangal,Ajmer,Manager,61439.00,2,56,37,101788.38
IIIT Hyderabad,Ahmedabad,Executive,55130.00,4,54,63,76329.43
BITS Pilani (Hyderabad Campus),Kolkata,Executive,60214.00,3,59,21,62418.98
NIT Jalandhar,Rajpur Sonarpur,Executive,52854.00,4,52,54,76868.81
"IEM, Kolkata",Ajmer,Executive,38765.00,4,72,60,80489.55
Jadavpur University,Asansol,Executive,56405.00,4,71,32,60035.10
Punjab Engineering College,Kolhapur,Executive,58805.00,1,36,47,74280.30
MNNIT Allahabad,Kolkata,Executive,52168.00,2,40,21,70571.96
IIIT Jabalpur,Ahmedabad,Manager,59767.00,2,37,28,98977.14
IIT Kharagpur,Ajmer,Executive,54644.00,2,40,63,74059.06
NIT Sikkim,Rajpur Sonarpur,Executive,49891.00,4,75,18,66862.46
NIT Patna,Rajpur Sonarpur,Executive,49405.00,2,76,32,62673.14
NIT Patna,Ajmer,Executive,46596.00,1,49,38,61931.25
IIT Kharagpur,Kolhapur,Executive,55954.00,1,67,32,75850.13
R.V. College of Engineering,Ajmer,Executive,53647.00,4,64,62,74474.82
IIIT Hyderabad,Bangalore,Manager,42415.00,3,65,39,77673.62
"Techno India, Kolkata",Kolhapur,Executive,50550.00,3,78,55,79909.33
NIT Kurukshetra,Durgapur,Executive,51700.00,1,37,57,81569.98
"USIT, Delhi",Chennai,Executive,76815.00,4,75,52,82684.17
NIT Jalandhar,Surat,Executive,42916.00,2,66,56,77490.53
BITS Pilani (Goa Campus),Bangalore,Manager,60526.00,2,51,47,89985.17
IIT ISM Dhanbad,Durgapur,Executive,50140.00,2,42,55,77386.51
IIT BHU (Varanasi),Chennai,Executive,53962.00,1,58,23,79568.27
"MAIT, Delhi",Pune,Manager,60155.00,1,64,22,90213.45
LNMIIT,Pune,Executive,55621.00,2,51,50,71706.60
SVNIT Surat,Asansol,Executive,52670.00,3,76,18,65619.70
MNIT Jaipur,Kolkata,Manager,61692.00,4,53,51,110792.78
IIT Ropar,Bangalore,Executive,55209.00,1,84,22,62356.93
NIT Jamshedpur,Asansol,Executive,57955.00,2,55,52,76674.92
IIIT Jabalpur,Bangalore,Executive,55133.00,3,68,25,67971.72
LNMIIT,Delhi,Manager,45664.00,3,39,33,69528.36
"MAIT, Delhi",Bangalore,Executive,49258.00,3,37,53,82986.23
NIT Raipur,Asansol,Executive,67454.00,2,84,29,69643.69
IIIT Allahabad,Kolkata,Executive,65689.00,3,36,58,80505.46
"MSIT, Delhi",Kolkata,Executive,58428.00,3,65,37,80805.33
NIT Bhopal,Surat,Executive,56828.00,4,48,54,71673.46
BITS Pilani (Pilani Campus),Ahmedabad,Executive,58460.00,2,41,49,72681.75
Jadavpur University,Ajmer,Executive,50281.00,3,51,50,63263.77
IIT Guwahati,Kolhapur,Executive,54657.00,1,71,26,65020.47
"BMS College, Bangalore",Kolhapur,Executive,47867.00,4,39,45,76955.95
DTU,Kozhikode,Executive,57924.00,1,43,54,73395.49
IIIT Allahabad,Hyderabad,Manager,58912.00,3,85,38,103944.32
R.V. College of Engineering,Surat,Manager,52752.00,3,35,48,72549.47
BITS Pilani (Goa Campus),Rajpur Sonarpur,Executive,49279.00,1,76,28,59191.67
NIT Tiruchipally (Trichy),Durgapur,Executive,52642.00,1,85,23,66869.52
"Cummins College of Engineering for Women, Pune",Durgapur,Executive,60253.00,3,58,55,69106.06
NIT Calicut,Asansol,Executive,57597.00,2,52,41,68679.91
IIT Kharagpur,Kozhikode,Manager,56103.00,1,66,25,95083.43
MNNIT Allahabad,Bangalore,Manager,65653.00,4,49,33,94368.83
"Amrita University, Coimbatore",Surat,Executive,49231.00,1,49,30,63816.55
NIT Rourkela,Chennai,Manager,58772.00,4,56,23,93127.08
"Dayanand College of Engineering, Bangalore",Durgapur,Executive,65684.00,2,79,46,65882.77
IIIT Allahabad,Hyderabad,Manager,63609.00,1,47,53,109221.39
Punjab Engineering College,Rourkela,Executive,56990.00,3,58,27,86557.85
IIITM Gwalior,Pune,Manager,67772.00,1,38,23,90785.90
NIT Surathkal (Karnataka),Kolhapur,Executive,49925.00,4,64,63,64951.65
BITS Pilani (Hyderabad Campus),Pune,Executive,58284.00,1,40,55,79183.24
"KIIT, Bhubaneswar",Bangalore,Executive,63979.00,4,42,35,67563.06
NIT Surathkal (Karnataka),Chennai,Executive,55342.00,2,63,34,80572.82
NIT Raipur,Rajpur Sonarpur,Executive,47766.00,1,82,19,67185.00
TIET/Thapar University,Pune,Executive,51176.00,1,58,39,59186.89
NIT Kurukshetra,Hyderabad,Executive,74256.00,2,40,27,83023.18
IIT Delhi,Pune,Executive,68071.00,3,85,57,88690.87
